,Return
0,0.996766284718152
1,0.972476000318725
2,1.06414330995215
3,0.996838397138303
4,1.01324479935268
5,0.903409146599999
6,0.93275970999369
7,1.00526614617544
8,0.895484985294462
9,1.049475816544
10,0.95609950914979
11,0.945117715851025
12,0.903440973581251
13,0.948897240247673
14,0.990369426893319
15,1.14900603934692
16,1.11250867510209
17,1.00069098892879
18,1.0520364022345
19,1.02454466566901
20,0.948376138647445
21,1.07706044343128
22,1.02215970164357
23,1.02133508947705
24,1.00570626660476
25,1.08015770015802
26,0.981936289258047
27,1.01208523343215
28,1.01664358458898
29,1.03493348684593
30,0.983650397853279
31,1.00811144315986
32,1.03397449834755
33,1.02634234366623
34,1.0080490545036
35,1.05311978017028
36,1.00326633274327
37,1.0372981851295
38,1.0031461323616
39,0.989287538145005
40,1.05033593771737
41,1.02047530011732
42,0.99525988847605
43,1.00234367638272
44,1.03053151512284
45,0.978249656475116
46,1.04031305922288
47,1.06489415775143
48,1.00673213725198
49,1.05542206292537
50,1.00971051237317
51,0.992126975021547
52,1.02214609318294
53,1.05021678619314
54,1.04348141584851
55,1.03318748628056
56,1.04650908522771
57,1.02716186244245
58,1.02210226463779
59,1.034788436142
60,0.991171192189144
61,0.980542228068045
62,1.0522049613347
63,1.02750941491048
64,1.03660946541544
65,0.979990336413805
66,0.947133163644237
67,1.03290281280309
68,1.02482837545909
69,1.03374359534332
70,0.982659200518809
71,0.994231212594355
72,0.929249315945781
73,0.942862149587574
74,0.9617759044475
75,0.991238749258141
76,0.975487649510065
77,0.852453408357458
78,0.968924557795778
79,1.1157436940155
80,0.906173648543543
81,0.814297663903857
82,1.02832420781668
83,1.1001778175811
84,0.868328509454022
85,0.90897815687466
86,1.11974793893385
87,1.23451580885795
88,0.937050631174913
89,1.06369881319866
90,1.10569085116028
91,1.09360944738063
92,0.996817229562203
93,0.954740826839798
94,1.03180173547229
95,1.00276328858692
96,0.970634538644513
97,0.996200335402105
98,1.02956439312744
99,1.01299689094637
100,0.967801841016273
101,1.01147401733043
102,1.05190307174649
103,0.999877271038259
104,1.00749505708222
105,1.05619970433099
106,0.96315982712084
107,1.04715410706925
108,0.992890481451147
109,1.03278425303909
110,0.992769756617251
111,1.04961502450004
112,1.00432213565005
113,0.991687303417433
114,0.980675797945555
115,0.96450964138044
116,0.998950835636669
117,1.03024092320248
118,1.01991796396702
119,0.996579663106109
120,1.00036684340603
121,1.05840386313009
122,1.01055743989306
123,0.969909477430865
124,0.941568498121661
125,1.04705280223222
126,1.0161452162293
127,1.03260987730643
128,1.02258191665007
129,1.0122861944796
130,0.994986760830655
131,1.02099371766813
132,1.03540795188218
133,0.997132603493955
134,1.01481233594358
135,1.03129186320537
136,1.04135581428396
137,0.975318554395422
138,1.08360826447014
139,0.97646673854999
140,1.01373256399626
141,1.04757859599312
142,0.965209711723882
143,0.984778116147813
144,1.00231266709486
145,1.00588676121138
146,0.975867344560988
147,1.03000268390637
148,1.03225539296487
149,0.981969650521993
150,1.00657921567084
151,1.00975744472128
152,0.967442328874611
153,1.01696107387786
154,1.03953080932102
155,0.988338791468872
156,1.02045193972155
157,1.01838020905543
158,0.978615536364541
159,1.04818969354321
160,1.01429318163109
161,0.937628951295243
162,1.01208544904531
163,0.94542731046734
164,0.974150697210694
165,1.04586108226581
166,0.987875440406356
167,0.983812044869848
168,0.96186990424183
169,1.09195817992207
170,1.04894029042247
171,1.09796491888688
172,0.957116039086762
173,1.08997186798626
174,1.021052932288
175,1.01601024554651
176,1.06331640325231
177,1.06047895460245
178,0.987141144682394
179,1.04448123912718
