,SMB,HML,UMD
358,-0.01109784,-0.00721607,0.02693537
359,0.01182346,0.00733166,0.02829965
360,0.01211705,0.01198267,0.02597176
361,-0.00639995,-0.00106557,0.03409617
362,0.01964454,0.01797577,0.0113447
363,0.01077755,0.04483825,-0.00633523
364,-0.02909224,-0.0028042,0.00550826
365,0.01230164,-0.02233653,0.02808162
366,0.02613017,-0.02895989,0.0025412
367,0.00928956,-0.01809762,-0.02121559
368,2.914e-05,-0.01876132,0.02591676
369,0.00803622,-0.01592756,0.01211758
370,-0.03431191,-0.03593227,-0.04076281
371,-0.00562307,-0.00370811,-0.05009095
372,-0.04171613,0.03736264,0.00901885
373,-0.02693544,-0.02049789,0.05338737
374,-0.03026123,-0.01102706,0.04302156
375,0.06815462,0.01800827,-0.13283217
376,0.03332802,0.01055417,-0.00054462
377,0.03258665,-0.02638992,0.03249425
378,-0.00672346,-0.01364661,0.02667179
379,-0.00764747,-0.0446909,0.08519686
380,-0.01015187,0.02149254,-0.0036254
381,-0.00839675,0.00388433,0.00548037
382,0.02210967,-0.00453238,0.00831399
383,0.03638974,0.00698656,-0.026851
384,0.00729152,0.02091704,0.00130989
385,-0.00470608,-0.02301429,0.03926686
386,0.03983892,0.0369448,-0.00884545
387,-0.01047003,0.00749149,0.00930991
388,0.02144027,-0.03851745,0.06584462
389,0.00446793,-0.03000798,0.05985424
390,0.00718743,0.00757186,0.03610676
391,0.01899875,0.00407687,0.01484861
392,0.02964676,-0.01325649,0.04651048
393,0.01118447,0.01617778,0.0364866
394,0.02932642,-0.00122901,-0.04478809
395,0.01294607,0.02408101,0.02166447
396,-0.00316736,0.00893954,0.03136815
397,0.01729014,-0.00299615,0.02465237
398,0.00995772,0.00575308,0.0280121
399,0.05117162,0.01253681,0.03301348
400,-0.01040651,0.00647319,-0.00849747
401,0.00281514,-0.02520939,-0.02403153
402,-0.05069944,0.03771596,-0.06489442
403,-0.00648567,-0.01955016,-0.0186239
404,-0.00627171,0.00936632,0.00078667
405,-0.00047277,0.0188282,0.01646589
406,0.00032065,-0.01865625,-0.00391502
407,0.00505922,-0.01080565,0.02278612
408,-0.01031213,-0.01378086,0.04545745
409,-0.02101518,-0.01812527,0.0277711
410,0.03944724,0.00051833,0.00906418
411,-0.03154786,-0.02346357,0.0325936
412,0.01440126,0.03169539,-0.05486341
413,0.02118027,-0.01406964,0.05154257
414,-0.00154173,0.01573314,-0.05625679
415,0.03836923,-0.021919,0.02609777
416,0.04553318,-0.0116472,0.00278034
417,0.00085665,-0.03970913,0.07413823
418,0.03323951,-0.01828462,0.0202182
419,-0.00359417,-0.03906863,0.07447879
420,-0.03952292,0.02629465,-0.02857554
421,-0.00907179,-0.03401955,0.02953799
422,0.02581081,-0.00884548,0.04450505
423,-0.04980502,0.01009455,0.02050437
424,-0.02207787,-0.021563680000000002,-0.07856099
425,0.01113351,0.01458687,-0.03221281
426,-0.02366444,0.04009041,-0.04053889
427,0.02881207,-0.01316813,0.05031314
428,-0.14775209,0.00850204,0.04521308
