Dates,IUMAJNB
2011-03-31,0.6043
2011-04-30,0.5602
2011-05-31,0.5264
2011-06-30,0.5083
2011-07-31,0.4875
2011-08-31,0.4578
2011-09-30,0.464
2011-10-31,0.4583
2011-11-30,0.4099
2011-12-31,0.2407
2012-01-31,0.3646
2012-02-29,0.4019
2012-03-31,0.4428
2012-04-30,0.4026
2012-05-31,0.3333
2012-06-30,0.3532
2012-07-31,0.2633
2012-08-31,0.2418
2012-09-30,0.261
2012-10-31,0.2346
2012-11-30,0.2316
2012-12-31,0.309
2013-01-31,0.289
2013-02-28,0.3443
2013-03-31,0.3752
2013-04-30,0.3273
2013-05-31,0.309
2013-06-30,0.3289
2013-07-31,0.2997
2013-08-31,0.2686
2013-09-30,0.3504
2013-10-31,0.3184
2013-11-30,0.2882
2013-12-31,0.257
2014-01-31,0.3601
2014-02-28,0.3768
2014-03-31,0.421
2014-04-30,0.3438
2014-05-31,0.2762
2014-06-30,0.4171
2014-07-31,0.4178
2014-08-31,0.3974
2014-09-30,0.4803
2014-10-31,0.3901
2014-11-30,0.4129
2014-12-31,0.3884
2015-01-31,0.3421
2015-02-28,0.3999
2015-03-31,0.4417
2015-04-30,0.4365
2015-05-31,0.4642
2015-06-30,0.4956
2015-07-31,0.4848
2015-08-31,0.4544
2015-09-30,0.4665
2015-10-31,0.4801
2015-11-30,0.4836
2015-12-31,0.4511
2016-01-31,0.4811
2016-02-29,0.467
2016-03-31,0.4596
2016-04-30,0.4442
2016-05-31,0.4254
2016-06-30,0.3998
2016-07-31,0.3427
2016-08-31,0.2212
2016-09-30,0.1837
2016-10-31,0.1599
2016-11-30,0.1209
2016-12-31,0.0106
2017-01-31,0.1642
2017-02-28,0.0344
2017-03-31,0.0621
2017-04-30,0.0693
2017-05-31,0.0575
2017-06-30,0.1262
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
